route_id,trip_id,trip_headsign,service_id
3000000,3000518,Craigieburn,monfri
3000000,3000519,Craigieburn,monfri
3000000,3000520,Craigieburn,monfri
3000000,3000521,Craigieburn,monfri
3000000,3000522,Craigieburn,monfri
3000000,3000523,Craigieburn,monfri
3000000,3000524,Craigieburn,monfri
3000000,3000525,Craigieburn,monfri
3000000,3000526,Craigieburn,monfri
3000000,3000527,Craigieburn,monfri
3000000,3000528,Craigieburn,monfri
3000000,3000529,Craigieburn,monfri
3000000,3000530,Craigieburn,monfri
3000000,3000531,Craigieburn,monfri
3000000,3000532,Craigieburn,monfri
3000000,3000533,Craigieburn,monfri
3000000,3000534,Craigieburn,monfri
3000000,3000535,Craigieburn,monfri
3000000,3000536,Craigieburn,monfri
3000000,3000537,Craigieburn,monfri
3000000,3000538,Craigieburn,monfri
3000000,3000539,Craigieburn,monfri
3000000,3000540,Craigieburn,monfri
3000000,3000541,Craigieburn,monfri
3000000,3000542,Craigieburn,monfri
3000000,3000543,Craigieburn,monfri
3000000,3000544,Craigieburn,monfri
3000000,3000545,Craigieburn,monfri
3000000,3000546,Craigieburn,monfri
3000000,3000547,Craigieburn,monfri
3000000,3000548,Craigieburn,monfri
3000000,3000549,Craigieburn,monfri
3000000,3000550,Craigieburn,monfri
3000000,3000551,Craigieburn,monfri
3000000,3000552,Craigieburn,monfri
3000000,3000553,Craigieburn,monfri
3000000,3000554,Craigieburn,monfri
3000000,3000555,Craigieburn,monfri
3000000,3000556,Craigieburn,monfri
3000000,3000557,Craigieburn,monfri
3000000,3000558,Craigieburn,monfri
3000000,3000559,Craigieburn,monfri
3000000,3000560,Craigieburn,sat
3000000,3000561,Craigieburn,sat
3000000,3000562,Craigieburn,sat
3000000,3000563,Craigieburn,sat
3000000,3000564,Craigieburn,sat
3000000,3000565,Craigieburn,sat
3000000,3000566,Craigieburn,sat
3000000,3000567,Craigieburn,sat
3000000,3000568,Craigieburn,sat
3000000,3000569,Craigieburn,sat
3000000,3000570,Craigieburn,sat
3000000,3000571,Craigieburn,sat
3000000,3000572,Craigieburn,sat
3000000,3000573,Craigieburn,sat
3000000,3000574,Craigieburn,sat
3000000,3000575,Craigieburn,sat
3000000,3000576,Craigieburn,sat
3000000,3000577,Craigieburn,sat
3000000,3000578,Craigieburn,sat
3000000,3000579,Craigieburn,sat
3000000,3000580,Craigieburn,sat
3000000,3000581,Craigieburn,sat
3000000,3000582,Craigieburn,sat
3000000,3000583,Craigieburn,sat
3000000,3000584,Craigieburn,sat
3000000,3000585,Craigieburn,sat
3000000,3000586,Craigieburn,sat
3000000,3000587,Craigieburn,sat
3000000,3000588,Craigieburn,sat
3000000,3000589,Craigieburn,sat
3000000,3000590,Craigieburn,sat
3000000,3000591,Craigieburn,sat
3000000,3000592,Craigieburn,sat
3000000,3000593,Craigieburn,sat
3000000,3000594,Craigieburn,sat
3000000,3000595,Craigieburn,sat
3000000,3000596,Craigieburn,sat
3000000,3000597,Craigieburn,sat
3000000,3000598,Craigieburn,sat
3000000,3000599,Craigieburn,sat
3000000,3000600,Craigieburn,sat
3000000,3000601,Craigieburn,sat
3000000,3000602,Craigieburn,sat
3000000,3000603,Craigieburn,sat
3000000,3000604,Craigieburn,sat
3000000,3000605,Craigieburn,sat
3000000,3000606,Craigieburn,sat
3000000,3000607,Craigieburn,sat
3000000,3000608,Craigieburn,sat
3000000,3000609,Craigieburn,sat
3000000,3000610,Craigieburn,sat
3000000,3000611,Craigieburn,sat
3000000,3000612,Craigieburn,sat
3000000,3000613,Craigieburn,sat
3000000,3000614,Craigieburn,sat
3000000,3000615,Craigieburn,sat
3000000,3000616,Craigieburn,sat
3000000,3000617,Craigieburn,sat
3000000,3000618,Craigieburn,sat
3000000,3000619,Craigieburn,sat
3000000,3000620,Craigieburn,sat
3000000,3000621,Craigieburn,sat
3000000,3000622,Craigieburn,sat
3000000,3000623,Craigieburn,sat
3000000,3000624,Craigieburn,sat
3000000,3000625,Craigieburn,sat
3000000,3000626,Craigieburn,sat
3000000,3000627,Craigieburn,sat
3000000,3000628,Craigieburn,sat
3000000,3000629,Craigieburn,sat
3000000,3000630,Craigieburn,sat
3000000,3000631,Craigieburn,sat
3000000,3000632,Craigieburn,sat
3000000,3000633,Craigieburn,sat
3000000,3000634,Craigieburn,sat
3000000,3000635,Craigieburn,sat
3000000,3000636,Craigieburn,sat
3000000,3000637,Craigieburn,sat
3000000,3000638,Craigieburn,sat
3000000,3000639,Craigieburn,sat
3000000,3000640,Craigieburn,sat
3000000,3000641,Craigieburn,sat
3000000,3000642,Craigieburn,sat
3000000,3000643,Craigieburn,sat
3000000,3000644,Craigieburn,sat
3000000,3000645,Craigieburn,sat
3000000,3000646,Craigieburn,sat
3000000,3000647,Craigieburn,sat
3000000,3000648,Craigieburn,sat
3000000,3000649,Craigieburn,sat
3000000,3000650,Craigieburn,sat
3000000,3000651,Craigieburn,sat
3000000,3000652,Craigieburn,sat
3000000,3000653,Craigieburn,sat
3000000,3000654,Craigieburn,sat
3000000,3000655,Craigieburn,sat
3000000,3000656,Craigieburn,sat
3000000,3000657,Craigieburn,sat
3000000,3000658,Craigieburn,sat
3000000,3000659,Craigieburn,sat
3000000,3000660,Craigieburn,sat
3000000,3000661,Craigieburn,sat
3000000,3000662,Craigieburn,sat
3000000,3000663,Craigieburn,sat
3000000,3000664,Craigieburn,sat
3000000,3000665,Craigieburn,sat
3000000,3000666,Craigieburn,sat
3000000,3000667,Craigieburn,sat
3000000,3000668,Craigieburn,sat
3000000,3000669,Craigieburn,sat
3000000,3000670,Craigieburn,sat
3000000,3000671,Craigieburn,sat
3000000,3000672,Craigieburn,sat
3000000,3000673,Craigieburn,sat
3000000,3000674,Craigieburn,sat
3000000,3000675,Craigieburn,sat
3000000,3000676,Craigieburn,sat
3000000,3000677,Craigieburn,sat
3000000,3000678,Craigieburn,sat
3000000,3000679,Craigieburn,sat
3000000,3000680,Craigieburn,sat
3000000,3000681,Craigieburn,sat
3000000,3000682,Craigieburn,sat
3000000,3000683,Craigieburn,sat
3000000,3000684,Craigieburn,sat
3000000,3000685,Craigieburn,sat
3000000,3000686,Craigieburn,sat
