route_id,trip_id,trip_headsign,service_id
3000000,3000320,Coburg,sun
3000000,3000321,Coburg,sun
3000000,3000322,Coburg,sun
3000000,3000323,Coburg,sun
3000000,3000324,Coburg,sun
3000000,3000325,Coburg,sun
3000000,3000326,Coburg,sun
3000000,3000327,Coburg,sun
3000000,3000328,Coburg,sun
3000000,3000329,Coburg,sun
3000000,3000330,Coburg,sun
3000000,3000331,Coburg,sun
3000000,3000332,Coburg,sun
3000000,3000333,Coburg,sun
3000000,3000334,Coburg,sun
3000000,3000335,Coburg,sun
3000000,3000336,Coburg,sun
3000000,3000337,Coburg,sun
3000000,3000338,Coburg,sun
3000000,3000339,Coburg,sun
3000000,3000340,Coburg,sun
3000000,3000341,Coburg,sun
3000000,3000342,Coburg,sun
3000000,3000343,Coburg,sun
3000000,3000344,Coburg,sun
3000000,3000345,Coburg,sun
3000000,3000346,Coburg,sun
3000000,3000347,Coburg,sun
3000000,3000348,Coburg,sun
3000000,3000349,Coburg,sun
3000000,3000350,Coburg,sun
3000000,3000351,Coburg,sun
3000000,3000352,Coburg,sun
3000000,3000353,Coburg,sun
3000000,3000354,Coburg,sun
3000000,3000355,Coburg,sun
3000000,3000356,Coburg,sun
3000000,3000357,Coburg,sun
3000000,3000358,Coburg,sun
3000000,3000359,Coburg,sun
3000000,3000360,Coburg,sun
3000000,3000361,Coburg,sun
3000000,3000362,Coburg,sun
3000000,3000363,Coburg,sun
3000000,3000364,Coburg,sun
3000000,3000365,Coburg,sun
3000000,3000366,Coburg,sun
3000000,3000367,Coburg,sun
3000000,3000368,Coburg,sun
3000000,3000369,Coburg,sun
3000000,3000370,Coburg,sun
3000000,3000371,Coburg,sun
3000000,3000372,Coburg,sun
3000000,3000373,Coburg,sun
3000000,3000374,Coburg,sun
3000000,3000375,Coburg,sun
3000000,3000376,Coburg,sun
3000000,3000377,Coburg,sun
3000000,3000378,Coburg,sun
3000000,3000379,Coburg,sun
3000000,3000380,Coburg,sun
3000000,3000381,Coburg,sun
3000000,3000382,Coburg,sun
3000000,3000383,Coburg,sun
3000000,3000384,Coburg,sun
3000000,3000385,Coburg,sun
3000000,3000386,Coburg,sun
3000000,3000387,Coburg,sun
3000000,3000388,Coburg,sun
3000000,3000389,Coburg,sun
3000000,3000390,Coburg,sun
3000000,3000391,Coburg,sun
3000000,3000392,Coburg,sun
3000000,3000393,Coburg,sun
3000000,3000394,Coburg,sun
3000000,3000395,Coburg,sun
3000000,3000396,Coburg,sun
3000000,3000397,Coburg,sun
3000000,3000398,Coburg,sun
3000000,3000399,Coburg,sun
3000000,3000400,Coburg,sun
3000000,3000401,Coburg,sun
3000000,3000402,Coburg,sun
3000000,3000403,Coburg,sun
3000000,3000404,Coburg,sun
3000000,3000405,Coburg,sun
3000000,3000406,Coburg,sun
3000000,3000407,Coburg,sun
3000000,3000408,Coburg,sun
3000000,3000409,Coburg,sun
3000000,3000410,Coburg,sun
3000000,3000411,Coburg,sun
3000000,3000412,Coburg,sun
3000000,3000413,Coburg,sun
3000000,3000414,Coburg,sun
3000000,3000415,Coburg,sun
3000000,3000416,Coburg,sun
3000000,3000417,Coburg,sun
3000000,3000418,Coburg,sun
3000000,3000419,Coburg,sun
3000000,3000420,Albert Park,monfri
3000000,3000421,Albert Park,monfri
3000000,3000422,Albert Park,monfri
3000000,3000423,Albert Park,monfri
3000000,3000424,Albert Park,monfri
3000000,3000425,Albert Park,monfri
3000000,3000426,Albert Park,monfri
3000000,3000427,Albert Park,monfri
3000000,3000428,Albert Park,monfri
3000000,3000429,Albert Park,monfri
3000000,3000430,Albert Park,monfri
3000000,3000431,Albert Park,monfri
3000000,3000432,Albert Park,monfri
3000000,3000433,Albert Park,monfri
3000000,3000434,Albert Park,monfri
3000000,3000435,Albert Park,monfri
3000000,3000436,Albert Park,monfri
3000000,3000437,Albert Park,monfri
3000000,3000438,Albert Park,monfri
3000000,3000439,Albert Park,monfri
3000000,3000440,Albert Park,monfri
3000000,3000441,Albert Park,monfri
3000000,3000442,Albert Park,monfri
3000000,3000443,Albert Park,monfri
3000000,3000444,Albert Park,monfri
3000000,3000445,Albert Park,monfri
3000000,3000446,Albert Park,monfri
3000000,3000447,Albert Park,monfri
3000000,3000448,Albert Park,monfri
3000000,3000449,Albert Park,monfri
3000000,3000450,Albert Park,monfri
3000000,3000451,Albert Park,monfri
3000000,3000452,Albert Park,monfri
3000000,3000453,Albert Park,monfri
3000000,3000454,Albert Park,monfri
3000000,3000455,Albert Park,monfri
3000000,3000456,Albert Park,monfri
3000000,3000457,Albert Park,monfri
3000000,3000458,Albert Park,monfri
3000000,3000459,Albert Park,monfri
3000000,3000460,Albert Park,monfri
3000000,3000461,Albert Park,monfri
3000000,3000462,Albert Park,monfri
3000000,3000463,Albert Park,monfri
3000000,3000464,Albert Park,monfri
3000000,3000465,Albert Park,monfri
3000000,3000466,Albert Park,monfri
3000000,3000467,Albert Park,monfri
3000000,3000468,Albert Park,monfri
3000000,3000469,Albert Park,monfri
3000000,3000470,Albert Park,monfri
3000000,3000471,Albert Park,monfri
3000000,3000472,Albert Park,monfri
3000000,3000473,Albert Park,monfri
3000000,3000474,Albert Park,monfri
3000000,3000475,Albert Park,monfri
3000000,3000476,Albert Park,monfri
3000000,3000477,Albert Park,monfri
3000000,3000478,Albert Park,monfri
3000000,3000479,Albert Park,monfri
3000000,3000480,Albert Park,monfri
3000000,3000481,Albert Park,monfri
3000000,3000482,Albert Park,monfri
3000000,3000483,Albert Park,monfri
3000000,3000484,Albert Park,monfri
3000000,3000485,Albert Park,monfri
3000000,3000486,Albert Park,monfri
3000000,3000487,Albert Park,monfri
3000000,3000488,Albert Park,monfri
3000000,3000489,Albert Park,monfri
3000000,3000490,Albert Park,monfri
3000000,3000491,Albert Park,monfri
3000000,3000492,Albert Park,monfri
3000000,3000493,Albert Park,monfri
3000000,3000494,Albert Park,monfri
3000000,3000495,Albert Park,monfri
3000000,3000496,Albert Park,monfri
3000000,3000497,Albert Park,monfri
3000000,3000498,Albert Park,monfri
3000000,3000499,Albert Park,monfri
3000000,3000500,Albert Park,monfri
3000000,3000501,Albert Park,monfri
3000000,3000502,Albert Park,monfri
3000000,3000503,Albert Park,monfri
3000000,3000504,Albert Park,monfri
3000000,3000505,Albert Park,monfri
3000000,3000506,Albert Park,monfri
3000000,3000507,Albert Park,monfri
3000000,3000508,Albert Park,monfri
3000000,3000509,Albert Park,monfri
3000000,3000510,Albert Park,monfri
3000000,3000511,Albert Park,monfri
3000000,3000512,Albert Park,monfri
3000000,3000513,Albert Park,monfri
3000000,3000514,Albert Park,monfri
3000000,3000515,Albert Park,monfri
3000000,3000516,Albert Park,monfri
3000000,3000517,Albert Park,monfri
3000000,3000518,Albert Park,monfri
3000000,3000519,Albert Park,monfri
3000000,3000520,Albert Park,monfri
3000000,3000521,Albert Park,monfri
3000000,3000522,Albert Park,monfri
3000000,3000523,Albert Park,monfri
3000000,3000524,Albert Park,monfri
3000000,3000525,Albert Park,monfri
3000000,3000526,Albert Park,monfri
3000000,3000527,Albert Park,monfri
3000000,3000528,Albert Park,monfri
3000000,3000529,Albert Park,monfri
3000000,3000530,Albert Park,monfri
3000000,3000531,Albert Park,monfri
3000000,3000532,Albert Park,monfri
3000000,3000533,Albert Park,monfri
3000000,3000534,Albert Park,monfri
3000000,3000535,Albert Park,monfri
3000000,3000536,Albert Park,monfri
3000000,3000537,Albert Park,monfri
3000000,3000538,Albert Park,monfri
3000000,3000539,Albert Park,monfri
3000000,3000540,Albert Park,monfri
3000000,3000541,Albert Park,monfri
3000000,3000542,Albert Park,monfri
3000000,3000543,Albert Park,monfri
3000000,3000544,Albert Park,monfri
3000000,3000545,Albert Park,monfri
3000000,3000546,Albert Park,monfri
3000000,3000547,Albert Park,monfri
3000000,3000548,Albert Park,monfri
3000000,3000549,Albert Park,monfri
3000000,3000550,Albert Park,monfri
3000000,3000551,Albert Park,monfri
3000000,3000552,Albert Park,monfri
3000000,3000553,Albert Park,monfri
3000000,3000554,Albert Park,monfri
3000000,3000555,Albert Park,monfri
3000000,3000556,Albert Park,monfri
3000000,3000557,Albert Park,monfri
3000000,3000558,Albert Park,monfri
3000000,3000559,Albert Park,monfri
3000000,3000560,Albert Park,sat
3000000,3000561,Albert Park,sat
3000000,3000562,Albert Park,sat
3000000,3000563,Albert Park,sat
3000000,3000564,Albert Park,sat
3000000,3000565,Albert Park,sat
3000000,3000566,Albert Park,sat
3000000,3000567,Albert Park,sat
3000000,3000568,Albert Park,sat
3000000,3000569,Albert Park,sat
3000000,3000570,Albert Park,sat
3000000,3000571,Albert Park,sat
3000000,3000572,Albert Park,sat
3000000,3000573,Albert Park,sat
3000000,3000574,Albert Park,sat
3000000,3000575,Albert Park,sat
3000000,3000576,Albert Park,sat
3000000,3000577,Albert Park,sat
3000000,3000578,Albert Park,sat
3000000,3000579,Albert Park,sat
3000000,3000580,Albert Park,sat
3000000,3000581,Albert Park,sat
3000000,3000582,Albert Park,sat
3000000,3000583,Albert Park,sat
3000000,3000584,Albert Park,sat
3000000,3000585,Albert Park,sat
3000000,3000586,Albert Park,sat
3000000,3000587,Albert Park,sat
3000000,3000588,Albert Park,sat
3000000,3000589,Albert Park,sat
3000000,3000590,Albert Park,sat
3000000,3000591,Albert Park,sat
3000000,3000592,Albert Park,sat
3000000,3000593,Albert Park,sat
3000000,3000594,Albert Park,sat
3000000,3000595,Albert Park,sat
3000000,3000596,Albert Park,sat
