route_id,trip_id,trip_headsign,service_id
3200000,3200000,Coburg,monthur
3200000,3200001,Coburg,monthur
3200000,3200002,Coburg,monthur
3200000,3200003,Coburg,monthur
3200000,3200004,Coburg,monthur
3200000,3200005,Coburg,monthur
3200000,3200006,Coburg,monthur
3200000,3200007,Coburg,monthur
3200000,3200008,Coburg,monthur
3200000,3200009,Coburg,monthur
3200000,3200010,Coburg,monthur
3200000,3200011,Coburg,monthur
3200000,3200012,Coburg,monthur
3200000,3200013,Coburg,monthur
3200000,3200014,Coburg,monthur
3200000,3200015,Coburg,monthur
3200000,3200016,Coburg,monthur
3200000,3200017,Coburg,monthur
3200000,3200018,Coburg,monthur
3200000,3200019,Coburg,monthur
3200000,3200020,Coburg,monthur
3200000,3200021,Coburg,monthur
3200000,3200022,Coburg,monthur
3200000,3200023,Coburg,monthur
3200000,3200024,Coburg,monthur
3200000,3200025,Coburg,monthur
3200000,3200026,Coburg,monthur
3200000,3200027,Coburg,monthur
3200000,3200028,Coburg,monthur
3200000,3200029,Coburg,monthur
3200000,3200030,Coburg,monthur
3200000,3200031,Coburg,monthur
3200000,3200032,Coburg,monthur
3200000,3200033,Coburg,monthur
3200000,3200034,Coburg,monthur
3200000,3200035,Coburg,monthur
3200000,3200036,Coburg,monthur
3200000,3200037,Coburg,monthur
3200000,3200038,Coburg,monthur
3200000,3200039,Coburg,monthur
3200000,3200040,Coburg,monthur
3200000,3200041,Coburg,monthur
3200000,3200042,Coburg,monthur
3200000,3200043,Coburg,monthur
3200000,3200044,Coburg,monthur
3200000,3200045,Coburg,monthur
3200000,3200046,Coburg,monthur
3200000,3200047,Coburg,monthur
3200000,3200048,Coburg,monthur
3200000,3200049,Coburg,monthur
3200000,3200050,Coburg,monthur
3200000,3200051,Coburg,monthur
3200000,3200052,Coburg,monthur
3200000,3200053,Coburg,monthur
3200000,3200054,Coburg,monthur
3200000,3200055,Coburg,monthur
3200000,3200056,Coburg,monthur
3200000,3200057,Coburg,monthur
3200000,3200058,Coburg,monthur
3200000,3200059,Coburg,monthur
3200000,3200060,Coburg,monthur
3200000,3200061,Coburg,monthur
3200000,3200062,Coburg,monthur
3200000,3200063,Coburg,monthur
3200000,3200064,Coburg,monthur
3200000,3200065,Coburg,monthur
3200000,3200066,Coburg,monthur
3200000,3200067,Coburg,monthur
3200000,3200068,Coburg,monthur
3200000,3200069,Coburg,monthur
3200000,3200070,Coburg,monthur
3200000,3200071,Coburg,monthur
3200000,3200072,Coburg,monthur
3200000,3200073,Coburg,monthur
3200000,3200074,Coburg,monthur
3200000,3200075,Coburg,monthur
3200000,3200076,Coburg,monthur
3200000,3200077,Coburg,monthur
3200000,3200078,Coburg,monthur
3200000,3200079,Coburg,monthur
3200000,3200080,Coburg,monthur
3200000,3200081,Coburg,monthur
3200000,3200082,Coburg,monthur
3200000,3200083,Coburg,monthur
3200000,3200084,Coburg,monthur
3200000,3200085,Coburg,monthur
3200000,3200086,Coburg,monthur
3200000,3200087,Coburg,monthur
3200000,3200088,Coburg,monthur
3200000,3200089,Coburg,monthur
3200000,3200090,Coburg,monthur
3200000,3200091,Coburg,monthur
3200000,3200092,Coburg,monthur
3200000,3200093,Coburg,monthur
3200000,3200094,Coburg,monthur
3200000,3200095,Coburg,monthur
3200000,3200096,Coburg,monthur
3200000,3200097,Coburg,monthur
3200000,3200098,Coburg,monthur
3200000,3200099,Coburg,monthur
3200000,3200100,Coburg,monthur
3200000,3200101,Coburg,monthur
3200000,3200102,Coburg,monthur
3200000,3200103,Coburg,monthur
3200000,3200104,Coburg,monthur
3200000,3200105,Coburg,monthur
3200000,3200106,Coburg,monthur
3200000,3200107,Coburg,monthur
3200000,3200108,Coburg,monthur
3200000,3200109,Coburg,monthur
3200000,3200110,Coburg,monthur
3200000,3200111,Coburg,monthur
3200000,3200112,Coburg,monthur
3200000,3200113,Coburg,monthur
3200000,3200114,Coburg,monthur
3200000,3200115,Coburg,monthur
3200000,3200116,Coburg,monthur
3200000,3200117,Coburg,monthur
3200000,3200118,Coburg,monthur
3200000,3200119,Coburg,monthur
3200000,3200120,Coburg,monthur
3200000,3200121,Coburg,monthur
3200000,3200122,Coburg,monthur
3200000,3200123,Coburg,monthur
3200000,3200124,Coburg,monthur
3200000,3200125,Coburg,monthur
3200000,3200126,Coburg,monthur
3200000,3200127,Coburg,monthur
3200000,3200128,Coburg,monthur
3200000,3200129,Coburg,monthur
3200000,3200130,Coburg,monthur
3200000,3200131,Coburg,monthur
3200000,3200132,Coburg,monthur
3200000,3200133,Coburg,monthur
3200000,3200134,Coburg,monthur
3200000,3200135,Coburg,monthur
3200000,3200136,Coburg,monthur
3200000,3200137,Coburg,monthur
3200000,3200138,Coburg,monthur
3200000,3200139,Coburg,monthur
3200000,3200140,Coburg,monfri
3200000,3200141,Coburg,monfri
3200000,3200142,Coburg,monfri
3200000,3200143,Coburg,monfri
3200000,3200144,Coburg,monfri
3200000,3200145,Coburg,monfri
3200000,3200146,Coburg,monfri
3200000,3200147,Coburg,monfri
3200000,3200148,Coburg,monfri
3200000,3200149,Coburg,monfri
3200000,3200150,Coburg,monfri
3200000,3200151,Coburg,monfri
3200000,3200152,Coburg,monfri
3200000,3200153,Coburg,monfri
3200000,3200154,Coburg,monfri
3200000,3200155,Coburg,monfri
3200000,3200156,Coburg,monfri
3200000,3200157,Coburg,monfri
3200000,3200158,Coburg,monfri
3200000,3200159,Coburg,monfri
3200000,3200160,Coburg,monfri
3200000,3200161,Coburg,monfri
